Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
TIKA;1;c47f57cff5a948c12748bfcf63fb34ca4715cc0e;1;0;1;0.0;37;27;0;56;NO;4;27;48;12;11.0;12;NO
TIKA;1;3c85d05b4091cfc09401aaab076bd7371dcabe8c;4;0;4;0.0;946;473;473;262;NO;4;48;44;5;4.0;5;NO
TIKA;1;d363b828bc6e714aa5f4ffedfbd1d09e1880f9ee;1;0;1;0.0;25;0;21;236;YES;4;26;44;1;0.0;1;NO
TIKA;1;2b86daf8815f3c8d974f887e4cc064b9159db595;2;0;2;0.9182958340544896;43;18;1;101;NO;3;0;33;11;10.0;11;NO
TIKA;1;6e3ee160366ebd6b336d7b9f12984486a3bb886e;36;0;36;0.0;4233;4233;0;0;NO;3;0;24;8;7.0;8;NO
TIKA;1;77428b0f44a61f2f92d9c03fba46b32f01d16d1c;8;0;8;0.0;1136;1136;0;0;NO;3;0;21;4;3.0;4;NO
TIKA;2;e43a19e433b6085b91bf44f534dbf055db313026;7;0;7;1.584962500721156;155;133;16;193;YES;7;44;1491;213;178.0;213;YES
TIKA;2;aac081e097de07b99e9d4975bf7da5be55114492;1;0;1;0.0;2;0;0;97;NO;7;7;1484;212;177.0;212;YES
TIKA;2;3c15d9cad408753ab0faea4fe1fa1be1408fa7c2;3;0;3;1.4779540059647653;386;122;0;192;NO;7;1;1477;211;176.0;211;YES
TIKA;2;f969a260ce7f02f2e431dfa6dfbcd5ac0c7bebf8;5;0;5;1.4945538136787642;530;0;0;192;NO;7;0;1470;210;175.0;210;YES
TIKA;2;27fdf2ce6987a55e7a5bab7b83deb203eab7621a;4;0;4;0.0;376;354;0;71;NO;7;1;1463;209;174.0;209;YES
TIKA;2;3079789724edf724c492c3497630c3cbd5533ef5;53;0;53;5.406984546938647;9620;0;0;397;NO;7;185;1442;206;171.0;206;YES
TIKA;2;8dfa33c3d14561923e29da234700278911be0efc;5;0;5;0.8112781244591328;88;80;0;85;NO;7;160;1407;201;166.0;201;NO
TIKA;2;9d5c3d8b58f886ad7f460e3f1fcc618c86ad6a6e;2;0;2;0.0;25;23;0;174;NO;7;24;1330;2;1.0;2;NO
TIKA;2;c6d2f094af965cd6dfab8a668946c60aaf616ea2;1;0;1;0.0;41;33;0;84;YES;6;180;1122;187;178.5;187;YES
TIKA;2;836c4b953552c4dd4359d45197b0f241824ba32c;3;0;3;0.9182958340544896;103;97;0;174;YES;6;56;1116;186;177.5;186;YES
TIKA;2;ca427a103afb541408ebfced5d6e95000dbd626b;5;0;5;0.0;320;284;0;143;NO;6;35;1104;10;8.0;10;YES
TIKA;2;7d8686cb5e5ecf6d5a7268f8f3517b49440eddae;18;0;18;3.2608281712244565;188;0;150;296;NO;6;132;1104;184;176.0;184;NO
TIKA;2;048252939fddb381856c41f94ef1ce3f84057b3d;1;0;1;0.0;48;24;0;144;YES;6;208;1062;177;169.5;177;YES
TIKA;2;df019d958207998fc9597e37ad591f904d67b0f5;1;0;1;0.0;9;1;0;64;NO;6;0;1038;173;165.5;173;NO
TIKA;2;79a504863f87fce9ae79a3e9a233432f2fef7f83;4;0;4;0.0;221;166;55;195;NO;6;64;1032;172;164.5;172;YES
TIKA;2;d2df838867328f8ddcdd1299399eddbbd48c97c6;1;0;1;0.0;1;0;1;61;NO;6;0;1026;171;163.5;171;NO
TIKA;2;ce4095f389b6c42b48b70117392ed5ceaaf51142;1;0;1;0.0;33;13;0;283;NO;6;0;1008;168;160.5;168;YES
TIKA;2;e0c59b5be8fc0301cc4130a2250b801fbf474b88;1;0;1;0.0;46;46;0;237;NO;6;0;1002;167;159.5;167;NO
TIKA;2;e97ee495b5007a01b872d00ba747f0d612cab72a;3;0;3;0.0;527;223;236;236;NO;6;0;996;166;158.5;166;NO
TIKA;2;72b945efe82c46226291dba7112dda1a0dff6097;1;0;1;0.0;212;0;4;240;NO;6;0;984;164;156.5;164;NO
TIKA;2;9ff3f2d96105cb64597a0a8d03e38a9b9aa23bb7;3;0;3;0.0;325;325;0;213;NO;6;3;978;163;155.5;163;YES
TIKA;2;c2b41c4af263ac4495154295881b277439bb3535;1;0;1;0.0;16;16;0;46;NO;6;131;972;162;154.5;162;NO
TIKA;2;2a405d3e28775ac789e2ab3a873cd302d332f722;1;0;1;0.0;2;2;0;300;NO;6;0;948;158;151.5;158;NO
TIKA;2;6abd44bb7fb419c197325041c4a3ff74827c45c8;1;0;1;0.0;2;0;0;114;NO;6;0;942;157;150.5;157;NO
TIKA;2;2a15448e24d2568629eebed80d6aa35a58350382;1;0;1;0.0;2;0;0;261;NO;6;323;936;156;149.5;156;NO
TIKA;2;19f04ad8bc32e088e7f0a328b151bb8d9fac397b;3;0;3;0.0;3;0;3;70;NO;6;1;930;155;148.5;155;NO
TIKA;2;e889dfad07ab4a8f8a1352dd5b0fd2b5ce18215a;5;0;5;0.0;426;424;0;110;NO;6;34;924;154;147.5;154;YES
TIKA;2;c22581fb98ef95a52d360b9ac84fde547e9883c2;1;0;1;0.0;3;3;0;79;YES;6;305;918;153;146.5;153;NO
TIKA;2;46f2fb81d9f05c35c61ee60b8f71da003c2574fe;7;0;7;0.0;1526;1526;0;0;NO;6;0;912;152;145.5;152;NO
