Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
QPID;1;66d9033a84e1d7b635580dfd33e9db3d72e650c8;1;1;1;0.0;5;0;5;801;NO;11;3;440;3;2.0;3;NO
QPID;1;317838e6fced8a01896444caa78b3e2a783d8925;6;0;6;0.5919364015398463;807;514;109;402;NO;11;5;440;6;5.0;6;NO
QPID;1;92ac99c5ffb4416f80e667c47554b2be5565f5fc;1;2;5;1.672933031873368;73;29;0;725;NO;11;23;440;3;2.0;3;YES
QPID;1;b1f9d150e273a9dd82cb185f6fec4260c5bf0342;1;1;1;0.0;7;0;1;827;NO;11;1;440;2;1.0;2;NO
QPID;1;908cc6ea00b13711da4c534facff572b16960187;1;1;1;0.0;2;0;0;111;NO;11;36;440;19;18.0;19;YES
QPID;1;d6c117af7083bd2a18c8465fd80887f755896ead;1;1;1;0.0;2;0;0;321;NO;11;0;440;40;39.0;40;NO
QPID;1;cd76b4636f7ad343a980834fbc1c2c74e1732182;1;1;1;0.0;132;10;0;817;NO;11;5;429;39;38.0;39;YES
QPID;1;2c0b7ee474bd76c3e950cbd16816dcffd9911194;2;3;3;0.1654270339962668;201;118;1;251;NO;11;3;418;38;37.0;38;YES
QPID;1;c1aa1730f2da9b59f719ab52871aa83833a246b8;2;2;2;0.8680403986166403;189;113;0;765;NO;11;5;407;37;36.0;37;YES
QPID;1;7d69cda97799e9977e985a5d4e32d59a0c09d782;6;0;6;1.836591668108979;37;9;10;1451;NO;11;4;396;4;3.0;4;NO
QPID;1;2ef1b37dc0b1ae3db9d9c0e7121307f167636203;1;1;1;0.0;25;19;0;64;NO;11;31;396;36;35.0;36;YES
QPID;1;25f5d7167e6455b1440c23984b7ad2a2c5dadfa3;1;1;1;0.0;17;15;0;379;NO;11;23;385;35;34.0;35;YES
QPID;1;f2575e48842433b7fd2823da1b6985e7616f6fa7;2;3;5;0.0;939;939;0;49;NO;11;6;374;34;33.0;34;YES
QPID;1;72e2a20ba5537bc68a0a26ce87e3fe4f13d7cf70;3;5;15;1.217380533655235;1006;553;223;813;NO;11;2;363;16;15.0;16;YES
QPID;1;8b445c94a9be057d1a45668a1bf0a282fafab954;24;0;24;0.0;3671;3671;0;0;NO;11;0;363;3;2.0;3;NO
QPID;1;dac3a256b4de7b2c65389dda795a1fcc8f62e5b8;2;3;4;1.472935039619369;120;70;0;1201;NO;11;13;363;33;32.0;33;YES
QPID;1;34aabfd2f63984c4e364ddf70b3de1c3f307ff52;2;4;6;1.358660615707255;306;90;0;1163;NO;11;20;352;32;31.0;32;YES
QPID;1;309643ac8308e8f69ebbf7f6144e8bdbd3ec111d;1;1;2;0.8453509366224365;107;63;0;758;NO;11;7;341;1;0.0;1;YES
QPID;1;3f3f6238cdf09b62ebc6a7bc63150d996dd29f35;3;7;20;2.5861354602323807;1179;982;11;667;NO;10;14;310;14;13.0;14;YES
QPID;1;39cad9398e213a4ec5678d21edcca17dba39871f;1;0;1;0.0;5;5;0;261;NO;10;24;310;31;30.0;31;YES
QPID;1;cde1609ade296967e5600f65545cb4b0c98aab8d;1;2;6;2.083551255936948;132;74;6;270;NO;10;24;300;30;29.0;30;NO
QPID;1;c14487c45a22982bdf991cd82cac517eb45070d4;1;4;4;1.792481250360578;13;1;0;159;NO;10;14;290;4;3.0;4;NO
QPID;1;1584e435c256f108afd6691a6ea9e1f3ff4faf0b;4;6;18;0.8112781244591328;3436;10;3418;770;NO;10;23;290;3;2.0;3;YES
QPID;1;aacdf39382efc793b9b92bc99bc8ce18c21de8d8;2;9;10;2.661315277401236;79;2;27;272;NO;10;18;290;2;1.0;2;YES
QPID;1;9dd364f138fda7587243ca675173236d2182ba2b;2;1;2;0.0;258;250;0;351;NO;10;23;290;1;0.0;1;YES
QPID;1;ed053ced80d3d8997420fd4f95e7c9bfbb561f40;2;2;3;0.9852281360342516;28;14;0;1157;NO;9;14;261;13;12.0;13;YES
QPID;1;9922a866e86ffcc2ab2c16df32c31f9f2db8ea37;1;1;1;0.0;2;2;0;256;NO;9;22;261;29;28.0;29;NO
QPID;1;a3d3d2ccc0ccb5d4b857be93c4774ac1bddd0aeb;1;1;1;0.0;13;5;0;545;NO;9;8;252;28;27.0;28;YES
QPID;1;8068afaf533fe54a175382bd52e2b6dd187e1eb8;1;1;2;0.0;54;0;54;345;NO;8;6;216;7;6.0;7;NO
QPID;1;0c609a22687ec74b3555279a92c3794a4cfb3f16;1;1;2;0.5032583347756457;20;0;2;176;YES;8;11;216;6;5.0;6;NO
QPID;1;1a888392fe1e75badf9b29566d96f1681b201f73;1;1;1;0.0;4;0;0;638;NO;8;2;216;27;26.0;27;NO
QPID;1;0dd883f13e53d70441112ebdc2294e74e2703a38;1;1;1;0.0;2;0;0;61;NO;8;16;208;26;25.0;26;NO
QPID;1;092988593cfc3c0ce9d6f938fd29d29dda8f6cf4;1;1;1;0.0;6;0;0;92;NO;8;0;200;25;24.0;25;NO
QPID;1;b8a6eceee94a1e36ba826b7e491f328e49fd4c04;2;3;4;0.30364126618753207;380;28;0;1150;NO;8;8;192;24;23.0;24;YES
QPID;1;914ab35ceb3d33934c93d682faa5a03770719238;1;1;1;0.0;1;1;0;544;NO;8;0;176;22;21.0;22;NO
QPID;1;913d7871d62bb7805ad067105b40544252dde371;1;1;1;0.0;43;15;0;529;NO;8;8;168;21;20.0;21;YES
QPID;1;904e7f64d1d05a77c7d11ca15898a478c6a52080;1;3;3;0.0;48;30;0;627;NO;8;9;160;20;19.0;20;YES
QPID;1;024cd170f0cbc2df4ce3cc6feea0dc88c26103bc;1;2;2;0.21639693245126468;80;22;0;177;NO;8;11;152;19;18.0;19;NO
QPID;1;a6ab93f8d33850f8446d6d5b3b1530ad79240b66;1;1;2;0.0;20;13;3;592;NO;8;13;144;2;1.0;2;YES
QPID;1;1b7a8c88f0407626322daacda2598cbe61d7db22;1;5;22;3.188033313396166;1346;923;107;717;NO;7;8;126;18;17.0;18;YES
QPID;1;4c32da95a3ba4cca235d3df24ca87fc3c5a1f269;1;2;2;0.0;36;8;12;729;NO;7;0;119;17;16.0;17;YES
QPID;1;b48848d374c3717429144ae1e56f7bc8ce987cbc;2;6;8;2.547970728167728;186;41;1;1149;NO;7;7;105;15;14.0;15;YES
QPID;1;fc6e203371b3b60f50a7f045d58fbfb43c081490;2;2;2;0.7793498372920852;33;6;1;205;NO;7;0;98;14;13.0;14;NO
QPID;1;39112baa4d7fb28c1833bcc663f532841e120080;1;1;1;0.0;21;7;0;198;NO;7;1;91;13;12.0;13;NO
QPID;1;60e464ae2170983cc3a5481a6d9f000e66b84f33;2;3;4;0.6402064333604702;54;19;1;260;NO;7;0;77;11;10.0;11;NO
QPID;1;d286adccaef32360fe739fd07022d589c853e191;1;14;22;3.972971305115522;792;424;198;247;NO;7;5;70;10;9.0;10;NO
QPID;1;1d8b2422976afe45b12f15f0d1f8326ea5316f45;2;7;13;2.0192407046368492;618;391;187;243;NO;7;4;63;9;8.0;9;YES
QPID;1;fd4e40519bb1fdd5bc6540e7790f4eb5169100b3;1;6;11;1.8344838760539361;502;407;1;926;NO;7;3;56;8;7.0;8;YES
QPID;1;a37a491a0138344170c17572061f365ef16476b9;1;1;1;0.0;10;8;0;26;NO;7;6;49;7;6.0;7;NO
QPID;1;3c7c66bfc2d9135672552adb0e3c6f3ba596b4f6;1;1;3;1.2516291673878228;16;0;4;212;NO;7;2;42;6;5.0;6;NO
QPID;1;6de66a985674a552caf409509e9798548679f2b7;1;1;3;1.5566567074628228;41;0;13;216;NO;6;0;30;5;4.0;5;NO
QPID;1;3b9905993bf550903b272975e8e5de251d6b680e;1;1;3;1.584962500721156;12;0;0;216;NO;6;0;30;4;3.0;4;NO
QPID;1;4f66925c9700532467aa82f8eb531d80253d5612;1;1;3;1.5219280948873621;16;6;0;213;NO;6;0;30;3;2.0;3;NO
QPID;1;1298b62ce7d63b60c5c91c93beedb29f36646ad8;1;1;3;1.5394847569315018;122;100;0;180;NO;6;1;30;1;0.0;1;NO
QPID;1;c44ac32efc9bb6525716d557ef731c977249db59;1;2;6;2.339572261986723;33;1;2;1149;NO;5;1;25;5;4.0;5;YES
QPID;1;c5343add73ca7443f6eebf862a93e17e0255cc87;1;2;2;0.0;40;28;0;677;NO;4;0;8;1;0.0;1;YES
QPID;1;87703534836168ecca2bcf6bc1719460e6b5b9bd;25;87;536;0.0;61551;61551;0;0;NO;3;0;6;1;0.0;1;YES
QPID;2;d8409a1fa9018c8fdc3cd030b1a4973d76836814;1;1;1;0.0;16;0;0;105;NO;20;0;8640;218;217.0;218;NO
QPID;2;20eaf3b517d109f108f58909fb629d81b0df6bc4;2;5;6;1.3709505944546687;251;241;0;189;NO;20;15;8640;100;96.0;100;YES
QPID;2;e7d6a487daf73db3500cd07ac4583dfdfd4bc691;1;1;2;0.0;231;231;0;0;NO;20;0;8640;217;216.0;217;NO
